frame_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,quat_x,quat_y,quat_z,quat_w,lookat_x,lookat_y,lookat_z,up_x,up_y,up_z
89,-0.161218,1.65658,2.01766,25.9861,185.235,351.655,0.0810588,-0.970054,0.220766,0.0607206,-0.0820145,-0.438153,-0.895151,-0.184073,0.889384,-0.418465
90,-0.174273,1.65581,2.00046,26.2065,185.254,351.244,0.0846334,-0.969307,0.2224,0.0617999,-0.0821613,-0.441608,-0.893438,-0.19156,0.886751,-0.420687
91,-0.181742,1.65452,1.98923,26.6038,185.022,350.896,0.0872108,-0.96837,0.225753,0.0607409,-0.0782632,-0.447819,-0.890692,-0.19633,0.88286,-0.42663
92,-0.188138,1.65284,1.97864,27.0084,184.633,350.602,0.0889996,-0.967519,0.229322,0.058281,-0.0719568,-0.454121,-0.88803,-0.198948,0.878981,-0.433373
93,-0.196386,1.6498,1.96383,27.7192,184.053,350.322,0.0902889,-0.966106,0.235644,0.0543998,-0.0625597,-0.465138,-0.883025,-0.200095,0.872639,-0.445491
94,-0.202908,1.64628,1.95087,28.6035,183.421,349.955,0.0921386,-0.964212,0.243438,0.0504333,-0.0523968,-0.478745,-0.876389,-0.202237,0.864497,-0.460157
95,-0.206291,1.64446,1.94302,29.2582,182.975,349.636,0.0938882,-0.96271,0.249176,0.0478142,-0.045273,-0.488747,-0.87125,-0.204602,0.858193,-0.47079
96,-0.208725,1.64352,1.93522,29.3599,182.582,349.252,0.0962596,-0.962326,0.250201,0.0454247,-0.0392582,-0.490294,-0.870673,-0.207997,0.856268,-0.472804
97,-0.211682,1.64267,1.92388,29.6094,181.97,348.735,0.0992464,-0.961561,0.252623,0.0416152,-0.0298872,-0.494085,-0.8689,-0.211889,0.852664,-0.477565
98,-0.211737,1.64282,1.92013,29.3836,181.885,348.624,0.100007,-0.961998,0.250759,0.0409645,-0.0286601,-0.490654,-0.870883,-0.212958,0.854236,-0.474267
99,-0.212157,1.64263,1.90575,29.3366,181.317,348.257,0.101848,-0.961972,0.250741,0.0369595,-0.020033,-0.48994,-0.871526,-0.214484,0.853512,-0.474883
100,-0.211386,1.64225,1.89893,29.3248,181.035,348.258,0.101231,-0.962086,0.250891,0.0345864,-0.0157543,-0.48976,-0.871715,-0.212141,0.853612,-0.475755
101,-0.209942,1.64206,1.89192,29.2653,180.757,348.191,0.101192,-0.962239,0.250618,0.0323456,-0.0115271,-0.488855,-0.872289,-0.210955,0.853902,-0.475762
102,-0.207082,1.64144,1.88172,29.1511,180.346,348.161,0.100566,-0.962574,0.250012,0.0288587,-0.005272,-0.487114,-0.873323,-0.208034,0.854761,-0.475505
103,-0.204553,1.64078,1.87509,29.1655,180.086,348.13,0.10026,-0.962578,0.250353,0.0267569,-0.0013103,-0.487333,-0.873215,-0.206414,0.854543,-0.476603
104,-0.201454,1.64019,1.86842,29.159,179.898,348.05,0.100521,-0.962565,0.250445,0.0253444,0.0015585,-0.487234,-0.87327,-0.20621,0.854346,-0.477044
105,-0.196107,1.6394,1.8586,29.1368,179.708,347.964,0.100835,-0.962578,0.250407,0.0239196,0.0044506,-0.486896,-0.873449,-0.206102,0.854258,-0.477248
106,-0.191621,1.63922,1.85233,29.1993,179.78,347.939,0.101181,-0.962405,0.250863,0.0246359,0.0033458,-0.487848,-0.872922,-0.207116,0.85366,-0.477878
107,-0.184339,1.63913,1.84274,29.0661,179.995,348.045,0.100793,-0.962741,0.249579,0.026088,7.97e-05,-0.485818,-0.87406,-0.207097,0.855102,-0.4753
108,-0.178457,1.63916,1.83626,28.8066,180.39,348.191,0.100478,-0.963338,0.247085,0.0288678,-0.0059657,-0.481854,-0.876231,-0.207854,0.857706,-0.470252
109,-0.171994,1.63943,1.82987,28.5057,180.855,348.453,0.0993197,-0.964091,0.244219,0.0319579,-0.0131093,-0.477246,-0.878672,-0.207116,0.860986,-0.46455
110,-0.164632,1.63983,1.82327,27.9062,181.449,348.776,0.097931,-0.965467,0.238752,0.0357917,-0.022349,-0.468025,-0.883433,-0.206189,0.866814,-0.454004
111,-0.152456,1.64037,1.81375,27.1803,182.334,349.233,0.0959438,-0.967064,0.232032,0.0417519,-0.0362294,-0.456792,-0.888835,-0.204943,0.873911,-0.440769
112,-0.138771,1.64165,1.80414,26.4029,183.372,349.558,0.0952415,-0.968503,0.224724,0.0492934,-0.0526756,-0.444681,-0.894139,-0.206638,0.880857,-0.425902
113,-0.128308,1.64348,1.79743,25.4898,184.141,349.791,0.0946624,-0.97015,0.216457,0.0547114,-0.065176,-0.43035,-0.900306,-0.207359,0.888371,-0.409633
114,-0.111399,1.64693,1.78737,23.9557,185.147,350.073,0.0938332,-0.972771,0.202747,0.0616961,-0.0819835,-0.40603,-0.910175,-0.207574,0.900178,-0.382874
115,-0.0990374,1.65041,1.78046,23.0337,185.799,350.277,0.0929947,-0.974235,0.194482,0.0662876,-0.0929877,-0.391272,-0.915565,-0.206981,0.907057,-0.366614
116,-0.0864711,1.65499,1.77253,21.8468,186.462,350.582,0.0911207,-0.976135,0.184013,0.0706873,-0.104466,-0.372126,-0.922285,-0.203907,0.915672,-0.346361
117,-0.0674132,1.66196,1.76052,19.6035,187.733,351.184,0.0870091,-0.97937,0.164242,0.0793052,-0.126757,-0.335508,-0.93347,-0.196479,0.930908,-0.307907
118,-0.0544321,1.66598,1.75236,18.0367,188.716,351.248,0.0870134,-0.981003,0.150116,0.0867537,-0.144087,-0.309626,-0.939878,-0.196767,0.939788,-0.279431
119,-0.0408537,1.66881,1.74473,17.2885,188.514,351.232,0.0864922,-0.982175,0.143836,0.0846292,-0.14136,-0.297184,-0.944298,-0.194246,0.943661,-0.267904
120,-0.0208134,1.67171,1.73297,16.3525,188.476,351.145,0.0866833,-0.983372,0.13576,0.0838781,-0.14143,-0.281546,-0.949067,-0.193258,0.948111,-0.252463
121,-0.0080594,1.67222,1.72475,16.4156,188.137,350.769,0.0895418,-0.983246,0.136291,0.0814518,-0.135767,-0.282602,-0.949581,-0.198286,0.946814,-0.253429
122,0.003684,1.67189,1.71632,16.716,187.866,350.461,0.0920097,-0.982802,0.138871,0.079686,-0.131076,-0.287628,-0.94873,-0.202987,0.944498,-0.258301
123,0.0145572,1.6708,1.70761,17.5459,187.766,350.264,0.0939697,-0.981598,0.145941,0.0795999,-0.128842,-0.30147,-0.94473,-0.207715,0.939742,-0.27155
124,0.0297428,1.66874,1.695,18.8633,187.646,349.977,0.0968719,-0.979569,0.157135,0.0798076,-0.12591,-0.323311,-0.937879,-0.214867,0.931849,-0.292387
125,0.0436632,1.66601,1.68295,20.3708,187.839,349.763,0.0996449,-0.976944,0.169714,0.0827534,-0.127869,-0.348094,-0.928698,-0.222784,0.922536,-0.31511
