Time(ms),x,y,z,qx,qy,qz,qw
81107,-0.6108715,-1.5917000,-0.0204762,0.0206259,0.8247135,-0.0399448,0.5637611
81137,-0.6215453,-1.5912170,-0.0180934,0.0218589,0.8251652,-0.0469843,0.5625097
81176,-0.6277961,-1.5906140,-0.0161741,0.0217338,0.8262894,-0.0497823,0.5606204
81191,-0.6367638,-1.5901660,-0.0131263,0.0214411,0.8277614,-0.0535124,0.5581108
81248,-0.6391605,-1.5898650,-0.0114835,0.0198806,0.8288887,-0.0533200,0.5565118
81260,-0.6501995,-1.5886110,-0.0054602,0.0190467,0.8318156,-0.0590741,0.5515708
81303,-0.6523730,-1.5884320,-0.0032985,0.0200967,0.8327876,-0.0602019,0.5499425
81344,-0.6593680,-1.5877770,0.0027324,0.0198631,0.8352834,-0.0622708,0.5459207
81359,-0.6661403,-1.5869390,0.0091419,0.0194739,0.8375489,-0.0644657,0.5421963
81401,-0.6683573,-1.5865500,0.0118667,0.0207935,0.8384607,-0.0673282,0.5403871
81442,-0.6749203,-1.5854340,0.0195165,0.0225794,0.8411934,-0.0720634,0.5354351
81470,-0.6815469,-1.5845710,0.0281134,0.0241815,0.8438783,-0.0762496,0.5305381
81526,-0.6857026,-1.5847790,0.0343544,0.0242943,0.8450382,-0.0773877,0.5285180
81541,-0.6942198,-1.5856290,0.0474569,0.0240083,0.8475736,-0.0780172,0.5243624
81569,-0.6961435,-1.5855950,0.0508452,0.0229322,0.8482279,-0.0760300,0.5236439
81609,-0.7000646,-1.5857821,0.0576600,0.0230762,0.8495085,-0.0762308,0.5215282
81625,-0.7060065,-1.5860560,0.0678924,0.0235083,0.8511658,-0.0772923,0.5186424
81679,-0.7075722,-1.5863169,0.0714959,0.0244774,0.8518231,-0.0808066,0.5169802
81694,-0.7146417,-1.5861050,0.0852313,0.0262380,0.8539301,-0.0849873,0.5127300
81734,-0.7165968,-1.5854740,0.0885909,0.0287359,0.8542793,-0.0879628,0.5115111
81777,-0.7213542,-1.5848120,0.0979887,0.0304984,0.8568708,-0.0895800,0.5067718
81805,-0.7257593,-1.5839890,0.1069250,0.0304718,0.8597942,-0.0892824,0.5018507
81836,-0.7286966,-1.5831470,0.1129067,0.0320332,0.8612399,-0.0918495,0.4988019
81875,-0.7312911,-1.5821331,0.1186142,0.0344294,0.8623735,-0.0944903,0.4961836
81902,-0.7349318,-1.5811840,0.1268114,0.0378077,0.8637130,-0.0967757,0.4931581
81943,-0.7369450,-1.5812360,0.1316311,0.0388325,0.8650491,-0.0957856,0.4909249
81958,-0.7399916,-1.5812290,0.1384527,0.0406778,0.8668944,-0.0943126,0.4877958
82014,-0.7410976,-1.5815229,0.1404388,0.0427222,0.8670429,-0.0957298,0.4870803
82028,-0.7450951,-1.5820121,0.1476257,0.0467057,0.8683234,-0.0959067,0.4843914
82069,-0.7458378,-1.5824831,0.1486700,0.0464906,0.8680953,-0.0959044,0.4848210
82100,-0.7483612,-1.5830580,0.1515539,0.0483081,0.8682250,-0.0946460,0.4846585
82139,-0.7500139,-1.5834200,0.1525652,0.0492112,0.8682399,-0.0945523,0.4845593
82180,-0.7524411,-1.5836190,0.1528133,0.0505782,0.8683768,-0.0942395,0.4842339
82194,-0.7549070,-1.5837470,0.1518108,0.0522537,0.8683933,-0.0946445,0.4839473
82236,-0.7556820,-1.5838170,0.1508209,0.0526969,0.8679767,-0.0953793,0.4845020
82278,-0.7581704,-1.5841990,0.1474467,0.0522806,0.8671666,-0.0959874,0.4858758
82293,-0.7606919,-1.5849960,0.1428049,0.0510615,0.8660815,-0.0959470,0.4879444
82334,-0.7611970,-1.5856810,0.1403664,0.0492154,0.8653548,-0.0937203,0.4898525
82376,-0.7632614,-1.5872600,0.1328828,0.0453229,0.8637075,-0.0896865,0.4938741
82404,-0.7652685,-1.5887491,0.1232332,0.0409690,0.8620724,-0.0851434,0.4978989
82443,-0.7664535,-1.5895640,0.1155693,0.0381804,0.8608051,-0.0822919,0.5007843
82458,-0.7684958,-1.5903840,0.1029086,0.0342765,0.8588548,-0.0780706,0.5050729
82500,-0.7692941,-1.5902990,0.0977900,0.0338277,0.8579219,-0.0773547,0.5067957
82544,-0.7717429,-1.5902210,0.0822510,0.0312974,0.8553774,-0.0747114,0.5116327
82569,-0.7747504,-1.5899100,0.0653637,0.0286400,0.8525791,-0.0719334,0.5168309
82640,-0.7769819,-1.5898030,0.0519369,0.0284907,0.8499417,-0.0692091,0.5215337
82653,-0.7833561,-1.5904959,0.0198049,0.0296262,0.8434913,-0.0616048,0.5327755
82666,-0.7846428,-1.5920560,0.0127656,0.0319353,0.8415480,-0.0613487,0.5357363
82709,-0.7856326,-1.5925480,0.0056746,0.0301789,0.8394438,-0.0590139,0.5393892
82738,-0.7894588,-1.5942650,-0.0155931,0.0276718,0.8351408,-0.0549435,0.5465851
82768,-0.7918919,-1.5948690,-0.0298567,0.0256480,0.8330250,-0.0523617,0.5501544
82806,-0.7941544,-1.5951180,-0.0439564,0.0248401,0.8308521,-0.0513703,0.5535602
82848,-0.7972343,-1.5954370,-0.0646058,0.0228364,0.8279770,-0.0517948,0.5578977
82862,-0.7998101,-1.5960270,-0.0844652,0.0206140,0.8256734,-0.0523586,0.5613352
82905,-0.8003833,-1.5959190,-0.0905501,0.0206812,0.8251961,-0.0529081,0.5619826
82945,-0.8021198,-1.5960590,-0.1084173,0.0201881,0.8231570,-0.0547942,0.5648031
82960,-0.8032968,-1.5961061,-0.1250532,0.0195056,0.8212671,-0.0563916,0.5674150
83004,-0.8034029,-1.5961930,-0.1299137,0.0184582,0.8210104,-0.0565430,0.5678064
83043,-0.8037869,-1.5960200,-0.1439553,0.0167276,0.8200185,-0.0581469,0.5691299
83072,-0.8036560,-1.5961421,-0.1559903,0.0150803,0.8191954,-0.0596952,0.5701998
83114,-0.8028254,-1.5964080,-0.1627927,0.0130169,0.8190793,-0.0612097,0.5702569
83129,-0.8010309,-1.5972970,-0.1719049,0.0097595,0.8190007,-0.0633123,0.5702053
83171,-0.7997292,-1.5972600,-0.1740743,0.0087754,0.8193582,-0.0626412,0.5697817
83212,-0.7962963,-1.5968230,-0.1801347,0.0072592,0.8199673,-0.0662232,0.5685204
83239,-0.7923011,-1.5949800,-0.1840979,0.0068918,0.8209465,-0.0726496,0.5663227
83268,-0.7892843,-1.5928400,-0.1854809,0.0063285,0.8222272,-0.0777851,0.5637835
83296,-0.7861505,-1.5901541,-0.1857571,0.0046843,0.8244783,-0.0836851,0.5596521
83338,-0.7829975,-1.5872920,-0.1851279,0.0018125,0.8279670,-0.0889613,0.5536726
83376,-0.7776476,-1.5837500,-0.1831153,0.0000776,0.8337954,-0.0983300,0.5432463
83404,-0.7712350,-1.5814530,-0.1802604,-0.0000807,0.8398834,-0.1052775,0.5324590
83435,-0.7670614,-1.5798450,-0.1777595,0.0017456,0.8433640,-0.1069523,0.5265884
83474,-0.7631100,-1.5778691,-0.1751661,0.0057549,0.8463860,-0.1078970,0.5214939
83502,-0.7570671,-1.5754900,-0.1717184,0.0112505,0.8504677,-0.1101478,0.5142428
83544,-0.7532126,-1.5741510,-0.1695017,0.0156499,0.8527402,-0.1106094,0.5102497
83569,-0.7479252,-1.5727000,-0.1667342,0.0224587,0.8550490,-0.1115844,0.5059010
83612,-0.7450445,-1.5722020,-0.1656186,0.0240579,0.8554866,-0.1135148,0.5046565
83641,-0.7413686,-1.5716780,-0.1646163,0.0264976,0.8563946,-0.1166171,0.5022814
83668,-0.7395784,-1.5716500,-0.1646791,0.0284671,0.8566713,-0.1198144,0.5009476
83711,-0.7380674,-1.5716970,-0.1652443,0.0314829,0.8567853,-0.1216466,0.5001298
83729,-0.7362342,-1.5719110,-0.1664928,0.0352963,0.8569641,-0.1232921,0.4991651
83835,-0.7349693,-1.5721290,-0.1702905,0.0397137,0.8554366,-0.1216720,0.5018438
83850,-0.7348599,-1.5717540,-0.1775961,0.0467646,0.8514673,-0.1209530,0.5081210
83876,-0.7353204,-1.5716790,-0.1797399,0.0476720,0.8498042,-0.1215458,0.5106729
83890,-0.7361988,-1.5714920,-0.1837518,0.0501466,0.8472358,-0.1219091,0.5146018
83934,-0.7368999,-1.5715830,-0.1865072,0.0508259,0.8452165,-0.1218690,0.5178549
83961,-0.7392597,-1.5714099,-0.1942710,0.0539843,0.8400610,-0.1207100,0.5261295
84004,-0.7414889,-1.5711640,-0.2003448,0.0557190,0.8357648,-0.1193518,0.5330552
84019,-0.7453927,-1.5708250,-0.2100126,0.0586103,0.8292225,-0.1177287,0.5432264
84072,-0.7472187,-1.5703650,-0.2137849,0.0597711,0.8264624,-0.1162653,0.5476037
84087,-0.7546390,-1.5687090,-0.2292075,0.0646137,0.8162864,-0.1116046,0.5630684
84129,-0.7569554,-1.5686280,-0.2338347,0.0672914,0.8125293,-0.1105665,0.5683687
84170,-0.7636538,-1.5680701,-0.2475275,0.0726536,0.8026690,-0.1058177,0.5824488
84199,-0.7708207,-1.5686460,-0.2620716,0.0784752,0.7921110,-0.1022664,0.5966100
84228,-0.7755825,-1.5698880,-0.2722838,0.0825333,0.7848010,-0.0998918,0.6060506
84270,-0.7801642,-1.5712730,-0.2827709,0.0854524,0.7777570,-0.0959478,0.6152934
84296,-0.7871677,-1.5730520,-0.2984344,0.0888282,0.7676697,-0.0904637,0.6281793
84337,-0.7917006,-1.5741481,-0.3086915,0.0898809,0.7620224,-0.0883448,0.6351682
84351,-0.7982857,-1.5756730,-0.3238601,0.0913694,0.7536060,-0.0839742,0.6455060
84394,-0.8001009,-1.5760020,-0.3284251,0.0906561,0.7521437,-0.0819060,0.6475744
84435,-0.8058723,-1.5767400,-0.3418777,0.0911398,0.7457185,-0.0795786,0.6551830
84462,-0.8115164,-1.5768390,-0.3537957,0.0931477,0.7392114,-0.0799018,0.6621976
84505,-0.8153796,-1.5763130,-0.3605055,0.0951955,0.7349612,-0.0819221,0.6663772
84532,-0.8211234,-1.5754910,-0.3690802,0.0982501,0.7290478,-0.0854286,0.6719659
84574,-0.8250721,-1.5752790,-0.3732318,0.0995661,0.7256756,-0.0875764,0.6751384
84588,-0.8310396,-1.5754750,-0.3781897,0.1010686,0.7203895,-0.0899140,0.6802496
84631,-0.8332197,-1.5756630,-0.3786882,0.0989003,0.7195233,-0.0878929,0.6817476
84673,-0.8399059,-1.5761520,-0.3802902,0.0970340,0.7161911,-0.0875245,0.6855612
84699,-0.8472936,-1.5764080,-0.3798248,0.0947052,0.7138855,-0.0882331,0.6881956
84727,-0.8526253,-1.5763170,-0.3783743,0.0936236,0.7128373,-0.0894565,0.6892715
84770,-0.8581340,-1.5762610,-0.3759353,0.0922725,0.7125093,-0.0904742,0.6896599
84796,-0.8666831,-1.5761670,-0.3711997,0.0894757,0.7125182,-0.0907165,0.6899872
84839,-0.8727852,-1.5756320,-0.3669282,0.0864210,0.7135476,-0.0899589,0.6894118
84853,-0.8819915,-1.5754560,-0.3599052,0.0833257,0.7147728,-0.0906353,0.6884344
84895,-0.8847340,-1.5758131,-0.3569076,0.0807652,0.7166988,-0.0906806,0.6867291
84937,-0.8937945,-1.5766571,-0.3482660,0.0778621,0.7198800,-0.0920175,0.6835518
84980,-0.9030142,-1.5781161,-0.3387254,0.0759828,0.7234186,-0.0934164,0.6798277
84992,-0.9089375,-1.5798579,-0.3321134,0.0756831,0.7259755,-0.0934134,0.6771304
85034,-0.9176999,-1.5808361,-0.3215764,0.0723337,0.7289322,-0.0909416,0.6746520
85063,-0.9231432,-1.5810000,-0.3145617,0.0722852,0.7299246,-0.0912324,0.6735440
85102,-0.9278839,-1.5807930,-0.3074061,0.0706045,0.7315561,-0.0907746,0.6720123
85131,-0.9348811,-1.5798090,-0.2968988,0.0712231,0.7334035,-0.0919102,0.6697754
85161,-0.9392958,-1.5789410,-0.2900725,0.0735284,0.7343222,-0.0947866,0.6681167
85199,-0.9433366,-1.5782810,-0.2838531,0.0762956,0.7346004,-0.0961609,0.6673039
85229,-0.9494224,-1.5774471,-0.2751511,0.0808945,0.7351948,-0.0980311,0.6658338
85268,-0.9530811,-1.5774320,-0.2701651,0.0828878,0.7359387,-0.0975388,0.6648383
85298,-0.9585293,-1.5773990,-0.2633098,0.0850390,0.7367829,-0.0957865,0.6638857
85339,-0.9619926,-1.5775729,-0.2596914,0.0857190,0.7363080,-0.0933752,0.6646683
85353,-0.9670241,-1.5779760,-0.2551050,0.0867959,0.7361888,-0.0899744,0.6651295
85396,-0.9683533,-1.5783370,-0.2541455,0.0864600,0.7357067,-0.0888077,0.6658630
85438,-0.9728615,-1.5790750,-0.2516825,0.0874759,0.7340844,-0.0851514,0.6679950
85453,-0.9771268,-1.5800720,-0.2502621,0.0881647,0.7322268,-0.0811207,0.6704405
85494,-0.9785624,-1.5802040,-0.2503373,0.0878748,0.7306552,-0.0799945,0.6723258
85533,-0.9825458,-1.5809200,-0.2509743,0.0874326,0.7270991,-0.0767941,0.6765982
85564,-0.9865260,-1.5813680,-0.2529202,0.0862087,0.7238804,-0.0737297,0.6805359
85604,-0.9890671,-1.5816410,-0.2552589,0.0850736,0.7222353,-0.0708946,0.6827245
85632,-0.9928483,-1.5824020,-0.2595830,0.0828095,0.7200744,-0.0668624,0.6856858
85661,-0.9951733,-1.5835249,-0.2631562,0.0815057,0.7192308,-0.0633979,0.6870551
85701,-0.9969280,-1.5855070,-0.2671634,0.0800141,0.7189435,-0.0605022,0.6877917
85728,-0.9994928,-1.5890430,-0.2736602,0.0761054,0.7190381,-0.0552656,0.6885767
85768,-1.0008340,-1.5912150,-0.2780573,0.0713451,0.7198941,-0.0491041,0.6886591
85798,-1.0026720,-1.5948811,-0.2848978,0.0638408,0.7205135,-0.0387379,0.6894085
85840,-1.0038511,-1.5980120,-0.2893989,0.0535774,0.7212452,-0.0270448,0.6900749
85854,-1.0056690,-1.6029730,-0.2963162,0.0385693,0.7220964,-0.0099483,0.6906447
85910,-1.0069650,-1.6043490,-0.2985074,0.0334939,0.7222713,-0.0055806,0.6907759
85925,-1.0108790,-1.6098380,-0.3071673,0.0175668,0.7226173,0.0097289,0.6909565
85967,-1.0115269,-1.6108820,-0.3091505,0.0165818,0.7225735,0.0098206,0.6910255
85995,-1.0136480,-1.6136020,-0.3150846,0.0092408,0.7222214,0.0162966,0.6914082
86035,-1.0148280,-1.6143790,-0.3187826,0.0057444,0.7221367,0.0180438,0.6914912
86064,-1.0164320,-1.6147590,-0.3241336,0.0027340,0.7222971,0.0189198,0.6913187
86094,-1.0174561,-1.6145750,-0.3271872,0.0028225,0.7222571,0.0167901,0.6914150
86131,-1.0182660,-1.6143590,-0.3300444,0.0029567,0.7217847,0.0150854,0.6919470
86161,-1.0193191,-1.6142499,-0.3338854,0.0022093,0.7211604,0.0125993,0.6926501
86216,-1.0197600,-1.6141870,-0.3362664,0.0009020,0.7212964,0.0116854,0.6925274
86230,-1.0208440,-1.6139280,-0.3404374,-0.0008277,0.7217955,0.0092908,0.6920435
86262,-1.0210420,-1.6136169,-0.3412819,-0.0005374,0.7222671,0.0085295,0.6915615
86300,-1.0214610,-1.6133530,-0.3430096,0.0003655,0.7224388,0.0071573,0.6913979
86341,-1.0219780,-1.6129290,-0.3451298,0.0009436,0.7225642,0.0046231,0.6912878
86356,-1.0226580,-1.6123910,-0.3468893,0.0017672,0.7226571,0.0021335,0.6912013
86398,-1.0228740,-1.6122020,-0.3473167,0.0022763,0.7225529,0.0015962,0.6913100
86427,-1.0235230,-1.6116270,-0.3485461,0.0038628,0.7222906,-0.0009609,0.6915783
86469,-1.0237740,-1.6112710,-0.3493703,0.0047667,0.7219118,-0.0020776,0.6919656
86498,-1.0242550,-1.6108030,-0.3503740,0.0057594,0.7214825,-0.0034793,0.6924001
86537,-1.0246480,-1.6104230,-0.3509949,0.0068131,0.7212280,-0.0044629,0.6926498
86566,-1.0251790,-1.6099941,-0.3517852,0.0082797,0.7207816,-0.0059654,0.6930872
86594,-1.0253201,-1.6096849,-0.3522608,0.0091323,0.7204855,-0.0068584,0.6933759
86635,-1.0253921,-1.6094199,-0.3528002,0.0099429,0.7202340,-0.0076889,0.6936173
86665,-1.0253249,-1.6089000,-0.3536231,0.0115504,0.7198730,-0.0093312,0.6939470
86693,-1.0253260,-1.6086470,-0.3541092,0.0127338,0.7195142,-0.0103800,0.6942834
86730,-1.0253100,-1.6082211,-0.3544457,0.0133884,0.7191035,-0.0111510,0.6946846
86762,-1.0251770,-1.6077380,-0.3550895,0.0148108,0.7184387,-0.0126641,0.6953172
86801,-1.0250020,-1.6073270,-0.3554202,0.0155538,0.7179814,-0.0136876,0.6957539
86831,-1.0247090,-1.6068950,-0.3560228,0.0169205,0.7172482,-0.0151427,0.6964478
86861,-1.0244690,-1.6065381,-0.3563619,0.0180847,0.7167356,-0.0158198,0.6969310
86898,-1.0241510,-1.6061590,-0.3567106,0.0189673,0.7163525,-0.0169939,0.6972737
