Video,Log ID,Network Trace,Draco_stalls,Draco_geo_no_stalls,Draco_geo_with_stalls,Draco_color_no_stalls,Draco_color_with_stalls,Livo_nocull_stalls,Livo_nocull_geo_no_stalls,Livo_nocull_geo_with_stalls,Livo_nocull_color_no_stalls,Livo_nocull_color_with_stalls,Livo_stalls,Livo_geo_no_stalls,Livo_geo_with_stalls,Livo_color_no_stalls,Livo_color_with_stalls,Starline_stalls,Starline_geo_no_stalls,Starline_geo_with_stalls,Starline_color_no_stalls,Starline_color_with_stalls
band2,2,tracep1,81.81818181818181,94.32326923076924,17.149685314685318,97.6580769230769,17.756013986013983,2.6223776223776225,91.02360861759425,88.63662587412587,82.60265709156192,80.43650349650349,0.5244755244755245,90.69186291739894,90.21620629370629,82.52506151142354,82.09223776223776,0.17482517482517482,86.10581436077058,85.95527972027972,82.36057793345009,82.21659090909091
dance5,2,tracep1,35.49382716049383,92.59189792663476,59.727489711934155,98.75395534290271,63.70239711934157,0.411522633744856,92.13114669421488,91.7520061728395,94.44475206611571,94.05609053497943,0.0,91.92058641975308,91.92058641975308,94.43292181069958,94.43292181069958,0.0,86.89583333333333,86.89583333333333,94.02537037037037,94.02537037037037
office1,1,tracep1,62.546816479400746,92.0548,34.477453183520595,96.4974,36.14134831460674,2.247191011235955,90.72028735632185,88.68162921348316,77.33519157088122,75.59732209737828,0.0,90.07260299625469,90.07260299625469,77.10576779026216,77.10576779026216,0.0,85.27756554307116,85.27756554307116,77.25619850187266,77.25619850187266
pizza1,2,tracep1,71.42857142857143,95.42681818181818,27.26480519480519,98.12499999999999,28.03571428571428,1.2987012987012987,89.37605263157893,88.21532467532467,75.50723684210527,74.52662337662338,3.896103896103896,87.77081081081083,84.35116883116885,74.9564864864865,72.03610389610391,0.0,85.71701298701298,85.71701298701298,75.10805194805195,75.10805194805195
toddler4,2,tracep1,98.02816901408451,99.92999999999998,1.9704507042253518,99.97000000000001,1.9712394366197186,2.2535211267605635,91.82878962536022,89.75940845070421,88.75054755043227,86.7505352112676,0.0,91.62946478873239,91.62946478873239,88.64766197183098,88.64766197183098,0.0,86.77360563380282,86.77360563380282,88.19312676056337,88.19312676056337
band2,2,wifi-25,81.81818181818181,91.6326923076923,16.66048951048951,96.67903846153845,17.57800699300699,12.062937062937063,83.50363817097416,73.43064685314685,80.09127236580518,70.42991258741259,2.097902097902098,86.8405,85.01867132867133,81.01071428571429,79.31118881118881,74.65034965034965,80.73889655172414,20.46702797202797,81.9478620689655,20.773496503496503
dance5,2,wifi-25,35.49382716049383,90.67352472089314,58.490020576131684,98.34381180223286,63.437829218107005,6.275720164609053,87.1664434687157,81.69612139917696,92.04667398463226,86.27008230452674,1.131687242798354,91.05735691987512,90.02687242798353,94.10872008324661,93.0437037037037,61.83127572016461,77.98641509433962,29.766419753086417,90.98043126684635,34.72606995884774
office1,1,wifi-25,62.734082397003746,90.11060301507538,33.58054307116105,95.36929648241207,35.54024344569289,11.610486891385769,82.50762711864407,72.92808988764045,74.27959745762712,65.65537453183521,3.183520599250936,86.82715667311412,84.06299625468165,75.63533849129594,73.22747191011236,70.59925093632958,76.40254777070064,22.46292134831461,75.83267515923566,22.295374531835204
pizza1,2,wifi-25,71.42857142857143,93.38954545454546,26.682727272727274,97.10272727272728,27.743636363636366,25.974025974025974,83.30859649122807,61.67,73.02929824561403,54.06064935064935,6.4935064935064934,84.49930555555555,79.01233766233766,73.74569444444445,68.95701298701299,61.03896103896104,78.44333333333334,30.562337662337665,74.569,29.052857142857146
toddler4,2,wifi-25,98.02816901408451,99.88714285714285,1.9696056338028167,99.94857142857143,1.9708169014084507,10.140845070422536,86.42015673981192,77.65642253521128,86.71310344827587,77.91966197183099,1.1267605633802817,88.027150997151,87.03529577464788,87.51507122507122,86.52898591549297,61.12676056338028,82.75586956521738,32.169887323943655,87.61108695652175,34.057267605633804
